site,treatment,datetime,temperature_c,light_lux
Low,Uninvaded,2022-12-09T15:05:55Z,28.8262890625,3411.2
Low,Uninvaded,2022-12-09T16:05:55Z,25.48005859375,8519.68
Low,Uninvaded,2022-12-09T17:05:55Z,22.39123046875,4322.56
Low,Uninvaded,2022-12-09T18:05:55Z,18.78759765625,1282.56
Low,Uninvaded,2022-12-09T19:05:55Z,16.1277734375,54.46
Low,Uninvaded,2022-12-09T20:05:55Z,14.4117578125,0
Low,Uninvaded,2022-12-09T21:05:55Z,15.141064453125,0
Low,Uninvaded,2022-12-09T22:05:55Z,12.1809375,0
Low,Uninvaded,2022-12-09T23:05:55Z,10.89392578125,0
Low,Uninvaded,2022-12-10T00:05:55Z,10.422021484375,0
Low,Uninvaded,2022-12-10T01:05:55Z,9.52111328125,0
Low,Uninvaded,2022-12-10T02:05:55Z,12.1809375,0
Low,Uninvaded,2022-12-10T03:05:55Z,12.60994140625,0
Low,Uninvaded,2022-12-10T04:05:55Z,13.596650390625,0
Low,Uninvaded,2022-12-10T05:05:55Z,13.7253515625,184.88
Low,Uninvaded,2022-12-10T06:05:55Z,14.712060546875,1137.92
Low,Uninvaded,2022-12-10T07:05:55Z,16.89998046875,4474.88
Low,Uninvaded,2022-12-10T08:05:55Z,24.664951171875,19169.28
Low,Uninvaded,2022-12-10T09:05:55Z,31.614814453125,29849.6
Low,Uninvaded,2022-12-10T10:05:55Z,52.76470703125,73154.56
Low,Uninvaded,2022-12-10T11:05:55Z,62.588896484375,109076.48
Low,Uninvaded,2022-12-10T12:05:55Z,36.162255859375,34273.28
Low,Uninvaded,2022-12-10T13:05:55Z,64.09041015625,108503.04
Low,Uninvaded,2022-12-10T14:05:55Z,39.20818359375,28446.72
Low,Uninvaded,2022-12-10T15:05:55Z,34.23173828125,22988.8
Low,Uninvaded,2022-12-10T16:05:55Z,33.2879296875,18232.32
Low,Uninvaded,2022-12-10T17:05:55Z,24.064345703125,9152
Low,Uninvaded,2022-12-10T18:05:55Z,20.289111328125,3307.52
Low,Uninvaded,2022-12-10T19:05:55Z,18.1869921875,23.41
Low,Uninvaded,2022-12-10T20:05:55Z,16.513876953125,0
Low,Uninvaded,2022-12-10T21:05:55Z,15.0981640625,0
Low,Uninvaded,2022-12-10T22:05:55Z,14.583359375,0
Low,Uninvaded,2022-12-10T23:05:55Z,12.996044921875,0
Low,Uninvaded,2022-12-11T00:05:55Z,13.253447265625,0
Low,Uninvaded,2022-12-11T01:05:55Z,13.12474609375,0
Low,Uninvaded,2022-12-11T02:05:55Z,13.0389453125,0
Low,Uninvaded,2022-12-11T03:05:55Z,12.824443359375,0
Low,Uninvaded,2022-12-11T04:05:55Z,12.910244140625,0
Low,Uninvaded,2022-12-11T05:05:55Z,12.738642578125,461.6
Low,Uninvaded,2022-12-11T06:05:55Z,14.712060546875,5621.76
Low,Uninvaded,2022-12-11T07:05:55Z,18.573095703125,13096.96
Low,Uninvaded,2022-12-11T08:05:55Z,21.318720703125,20505.6
Low,Uninvaded,2022-12-11T09:05:55Z,33.759833984375,36341.76
Low,Uninvaded,2022-12-11T10:05:55Z,25.522958984375,14853.12
Low,Uninvaded,2022-12-11T11:05:55Z,30.45650390625,28313.6
Low,Uninvaded,2022-12-11T12:05:55Z,46.286748046875,37867.52
Low,Uninvaded,2022-12-11T13:05:55Z,38.307275390625,36945.92
Low,Uninvaded,2022-12-11T14:05:55Z,37.49216796875,32552.96
Low,Uninvaded,2022-12-11T15:05:55Z,32.2583203125,16691.2
Low,Uninvaded,2022-12-11T16:05:55Z,16.55677734375,1008.64
Low,Uninvaded,2022-12-11T17:05:55Z,13.682451171875,958.08
Low,Uninvaded,2022-12-11T18:05:55Z,14.111455078125,1316.48
Low,Uninvaded,2022-12-11T19:05:55Z,13.63955078125,46.12
Low,Uninvaded,2022-12-11T20:05:55Z,12.910244140625,0
Low,Uninvaded,2022-12-11T21:05:55Z,12.86734375,0
Low,Uninvaded,2022-12-11T22:05:55Z,13.55375,0
Low,Uninvaded,2022-12-11T23:05:55Z,14.0685546875,0
Low,Uninvaded,2022-12-12T00:05:55Z,14.283056640625,0
Low,Uninvaded,2022-12-12T01:05:55Z,13.896953125,0
Low,Uninvaded,2022-12-12T02:05:55Z,14.025654296875,0
Low,Uninvaded,2022-12-12T03:05:55Z,14.15435546875,0
Low,Uninvaded,2022-12-12T04:05:55Z,14.025654296875,0
Low,Uninvaded,2022-12-12T05:05:55Z,13.98275390625,172.56
Low,Uninvaded,2022-12-12T06:05:55Z,16.170673828125,5509.12
Low,Uninvaded,2022-12-12T07:05:55Z,17.75798828125,7242.24
Low,Uninvaded,2022-12-12T08:05:55Z,17.972490234375,6433.28
Low,Uninvaded,2022-12-12T09:05:55Z,16.89998046875,5885.44
Low,Uninvaded,2022-12-12T10:05:55Z,17.972490234375,4430.08
Low,Uninvaded,2022-12-12T11:05:55Z,23.24923828125,23910.4
Low,Uninvaded,2022-12-12T12:05:55Z,19.345302734375,12544
Low,Uninvaded,2022-12-12T13:05:55Z,28.783388671875,32645.12
Low,Uninvaded,2022-12-12T14:05:55Z,24.836552734375,22272
Low,Uninvaded,2022-12-12T15:05:55Z,19.73140625,9233.92
Low,Uninvaded,2022-12-12T16:05:55Z,17.972490234375,5337.6
Low,Uninvaded,2022-12-12T17:05:55Z,13.7253515625,1530.24
Low,Uninvaded,2022-12-12T18:05:55Z,14.197255859375,1612.8
Low,Uninvaded,2022-12-12T19:05:55Z,13.63955078125,32.19
Low,Uninvaded,2022-12-12T20:05:55Z,13.210546875,0
Low,Uninvaded,2022-12-12T21:05:55Z,13.3821484375,0
