Elevation,Site,Date,Treatment,Plot_ID,Natives_sp,Natives_nr,Alien_sp,Alien_nr
1730,Low,October_2022,Control,LK_1,Helichrysumrugulosum,31,Conyza sumatrensis,2
1730,Low,October_2022,Control,LK_1,Helichrysumnudifolium,29,Hypochaeris radicata,34
1730,Low,October_2022,Control,LK_1,Helichrysumodoratissimum,20,Oenothera rosea,50
1730,Low,October_2022,Control,LK_1,Artemisiaafra,1,NA,NA
1730,Low,October_2022,Control,LK_1,Cynoglossumhispidum,3,NA,NA
1730,Low,October_2022,Control,LK_1,Helichryssumcooperi,1,NA,NA
1730,Low,October_2022,Control,LK_1,Helichrysumpilosellum,1,NA,NA
1730,Low,October_2022,Control,LK_1,Helichrysumsplendidum,1,NA,NA
1730,Low,October_2022,Control,LK_1,Ranunculusmultifidus,3,NA,NA
1730,Low,October_2022,Control,LK_1,Rumexacetosella,50,NA,NA
1730,Low,October_2022,Control,LK_1,Taraxacumofficinale,12,NA,NA
1730,Low,December_2022,Control,LK_1,Helichrysumrugulosum,50,Oenothera stricta,50
1730,Low,December_2022,Control,LK_1,Albucarupestris,2,Rumex acetosella,50
1730,Low,December_2022,Control,LK_1,Artemisiaafra,1,Hypochaeris radicata,50
1730,Low,December_2022,Control,LK_1,Carexzuluensis,3,Conyza sumatrensis,3
1730,Low,December_2022,Control,LK_1,Helichrysumcymosum,4,NA,NA
1730,Low,December_2022,Control,LK_1,Helichrysumnudifolium,8,NA,NA
1730,Low,December_2022,Control,LK_1,Hermanniageniculata,2,NA,NA
1730,Low,December_2022,Control,LK_1,Cynoglossumhispidum,1,NA,NA
1730,Low,December_2022,Control,LK_1,Ranunculusmultifidus,2,NA,NA
1730,Low,December_2022,Control,LK_1,Ajugaophrydis,5,NA,NA
1730,Low,December_2022,Control,LK_1,Asclepiashumilis,2,NA,NA
1730,Low,December_2022,Control,LK_1,Helichrysumodoratissimum,4,NA,NA
1730,Low,December_2022,Control,LK_1,Commelinaafricana,2,NA,NA
1730,Low,December_2022,Control,LK_1,Trifoliumburchellianum,50,NA,NA
1730,Low,March_2023,Control,LK_1,Helichrysumcallicomum,6,Hypochaerisradicata,15
1730,Low,March_2023,Control,LK_1,Rumexlanceolatus,34,Oenotherarosea,50
1730,Low,March_2023,Control,LK_1,Helichrysumrugulosum,50,Conyzasumatrensis,2
1730,Low,March_2023,Control,LK_1,Helichrysumnudifolium,22,NA,NA
1730,Low,March_2023,Control,LK_1,Wahlenbergiakrebsii,2,NA,NA
1730,Low,March_2023,Control,LK_1,Rumexacetosella,50,NA,NA
1730,Low,March_2023,Control,LK_1,Cynoglossumhispidum,3,NA,NA
1730,Low,March_2023,Control,LK_1,Artemisiaafra,1,NA,NA
1730,Low,March_2023,Control,LK_1,Hermanniageniculata,1,NA,NA
1730,Low,March_2023,Control,LK_1,Oxalisdepressa,50,NA,NA
1730,Low,March_2023,Control,LK_1,Helichrysumcymosum,4,NA,NA
1730,Low,March_2023,Control,LK_1,Cyperussemitrifidus,50,NA,NA
1730,Low,March_2023,Control,LK_1,Hibiscusaethiopicus,1,NA,NA
1730,Low,March_2023,Control,LK_1,Helichrysumpallidum,2,NA,NA
1730,Low,June_2023,Control,LK_1,Helichrysumcallicomum,6,Oenothera rosea,50
1730,Low,June_2023,Control,LK_1,Helichrysumcymosum,3,Hypochaeris radicata,15
1730,Low,June_2023,Control,LK_1,Oxalisdepressa,50,NA,NA
1730,Low,June_2023,Control,LK_1,Artemisiaafra,1,NA,NA
1730,Low,June_2023,Control,LK_1,Cynoglossumhispidum,1,NA,NA
1730,Low,June_2023,Control,LK_1,Helichrysumnudifolium,1,NA,NA
1730,Low,October_2023,Control,LK_1,Artemisiaafra,1,Oenothera rosea,50
1730,Low,October_2023,Control,LK_1,Cynoglossumhispidum,1,Hypochaeris radicata,50
1730,Low,October_2023,Control,LK_1,Helichrysumcymosum,3,Verbena bonariensis,1
1730,Low,October_2023,Control,LK_1,Helichrysumodoratissimum,2,NA,NA
1730,Low,October_2023,Control,LK_1,Helichrysumnudifolium,17,NA,NA
1730,Low,October_2022,Control,LK_2,Helichrysumodoratissimum,50,Conyza sumatrensis,15
1730,Low,October_2022,Control,LK_2,Salviarepens,22,Equisetum hyemale,50
1730,Low,October_2022,Control,LK_2,Taraxacumofficinale,1,Hypochaeris radicata,4
1730,Low,October_2022,Control,LK_2,Artemisiaafra,20,Medicago polymorpha,1
1730,Low,October_2022,Control,LK_2,Helichrysumrugulosum,7,Nidorella podocephala,5
1730,Low,October_2022,Control,LK_2,Cinerariadieterlenii,4,Oenothera rosea,50
1730,Low,October_2022,Control,LK_2,Cyperusesculentus,50,Plantago lanceolata,2
1730,Low,October_2022,Control,LK_2,Oxaliscorniculata,12,Verbena bonariensis,6
1730,Low,October_2022,Control,LK_2,Agrimoniaprocera,1,NA,NA
1730,Low,October_2022,Control,LK_2,Cheilantheseckloniana,1,NA,NA
1730,Low,October_2022,Control,LK_2,Helichryssumcooperi,1,NA,NA
1842,Middle,October_2022,Control,MK_4,Diospyrosrubriflora,1,Conyza sumatrensis,14
1842,Middle,October_2022,Control,MK_1,Plantagolanceolata,1,Conyza sumatrensis,16
1842,Middle,October_2022,Control,MK_5,Helichrysumnudifolium,10,Cyperus esculentus,50
1842,Middle,October_2022,Control,MK_3,Berkheyarhapontica,43,Hypochaeris radicata,1
1842,Middle,October_2022,Control,MK_4,Helichrysumodoratissimum,1,Hypochaeris radicata,2
1842,Middle,October_2022,Control,MK_4,Helichrysumodoratissimum,35,Nidorella podocephala,18
1842,Middle,October_2022,Control,MK_1,Stachyshyssopoides,28,Nidorella podocephala,32
1842,Middle,October_2022,Control,MK_4,Cynoglossumhispidum,23,Oenothera rosea,25
1842,Middle,October_2022,Control,MK_5,Hibiscusaethiopicus,36,Oenothera rosea,47
1842,Middle,October_2022,Control,MK_1,Berkheyarhapontica,18,Oxalis corniculata,3
1842,Middle,October_2022,Control,MK_5,Cynoglossumhispidum,17,Oxalis corniculata,1
1842,Middle,October_2022,Control,MK_2,Helichrysumaureonitens,22,Oxalis corniculata,1
1842,Middle,October_2022,Control,MK_4,Helichrysumnudifolium,6,Oxalis corniculata,2
1842,Middle,October_2022,Control,MK_1,Cyperusesculentus,50,Plantago lanceolata,50
1842,Middle,October_2022,Control,MK_2,Cyperusesculentus,50,Plantago lanceolata,6
1842,Middle,October_2022,Control,MK_4,Cyperusesculentus,37,Plantago lanceolata,1
1842,Middle,October_2022,Control,MK_3,Senecioerubescens,16,Plantago lanceolata,1
1842,Middle,October_2022,Control,MK_2,Berkheyadiscolor,4,Taraxacum officinale,4
1842,Middle,October_2022,Control,MK_3,Plantagolanceolata,0,Taraxacum officinale,1
1842,Middle,October_2022,Control,MK_1,Senecioerubescens,10,Taraxacum officinale,4
1842,Middle,October_2022,Control,MK_1,Berkheyadiscolor,13,Trifolium repens,2
1842,Middle,October_2022,Control,MK_2,Stachyshyssopoides,50,Trifolium repens,1
1842,Middle,October_2022,Control,MK_2,Berkheyarhapontica,5,Verbena bonariensis,50
1842,Middle,October_2022,Control,MK_6,Helichrysumodoratissimum,3,Verbena bonariensis,2
1842,Middle,October_2022,Control,MK_5,Helichrysumrugulosum,21,Verbena bonariensis,50
1842,Middle,October_2022,Control,MK_1,Helichrysumsplendidum,7,Verbena bonariensis,24
1842,Middle,October_2022,Control,MK_4,Stachyshyssopoides,28,Verbena bonariensis,46
1842,Middle,October_2022,Control,MK_2,Amaranthushybridus,3,NA,NA
1842,Middle,October_2022,Control,MK_2,Amaranthushybridus,20,NA,NA
1842,Middle,October_2022,Control,MK_6,Amaranthushybridus,6,NA,NA
1842,Middle,October_2022,Control,MK_3,Anthospermum,1,NA,NA
1842,Middle,October_2022,Control,MK_4,Anthospermum,1,NA,NA
1842,Middle,October_2022,Control,MK_6,Anthospermumherbaceum,15,NA,NA
1842,Middle,October_2022,Control,MK_4,Arctotisarctotoides,10,NA,NA
1842,Middle,October_2022,Control,MK_6,Asclepiasstellifera,6,NA,NA
1842,Middle,October_2022,Control,MK_3,Berkheyadiscolor,5,NA,NA
1842,Middle,October_2022,Control,MK_4,Cinerariadieterlenii,1,NA,NA
1842,Middle,October_2022,Control,MK_1,Cirsiumvulgare,1,NA,NA
1842,Middle,October_2022,Control,MK_2,Cirsiumvulgare,1,NA,NA
1842,Middle,October_2022,Control,MK_3,Cirsiumvulgare,17,NA,NA
1842,Middle,October_2022,Control,MK_4,Cirsiumvulgare,6,NA,NA
1842,Middle,October_2022,Control,MK_5,Cirsiumvulgare,47,NA,NA
1842,Middle,October_2022,Control,MK_2,Coniumcffontanum,6,NA,NA
1842,Middle,October_2022,Control,MK_2,Conyzasumatrensis,7,NA,NA
1842,Middle,October_2022,Control,MK_2,Conyzasumatrensis,9,NA,NA
1842,Middle,October_2022,Control,MK_2,Crassuladependens,11,NA,NA
1842,Middle,October_2022,Control,MK_3,Cynoglossumhispidum,28,NA,NA
1842,Middle,October_2022,Control,MK_1,Diospyrosrubriflora,2,NA,NA
1842,Middle,October_2022,Control,MK_6,Diospyrosrubriflora,1,NA,NA
1842,Middle,October_2022,Control,MK_2,Euphobiastricta,1,NA,NA
1842,Middle,October_2022,Control,MK_3,Feliciafilifolia,1,NA,NA
1842,Middle,October_2022,Control,MK_4,Feliciafilifolia,41,NA,NA
1842,Middle,October_2022,Control,MK_5,Feliciafilifolia,1,NA,NA
1842,Middle,October_2022,Control,MK_6,Helichrysumaureonitens,4,NA,NA
1842,Middle,October_2022,Control,MK_3,Helichrysumnudifolium,40,NA,NA
